cgpa,favourite_subjects,technical_skills,skill_level,career_interests,recommended_career
8.71,"AI,Security,Ethics","TensorFlow,SQL,Python",Advanced,Data Science,Data Scientist
9.36,"DBMS,AI,Web Design","SQL,React,Excel",Beginner,AI Research,ML Engineer
8.99,"Cloud,Maths,AI","SQL,CSS,TensorFlow",Beginner,Data Analytics,Data Analyst
8.22,"Cloud,OS,DBMS","CSS,SQL,Docker",Beginner,UI/UX Design,UI/UX Designer
9.79,"OS,Security,Web Design","Linux,Python,React",Beginner,Data Science,Data Scientist
7.24,"Networking,Programming,Ethics","TensorFlow,Excel,R",Intermediate,UI/UX Design,UI/UX Designer
6.3,"UI,OS,Security","TensorFlow,Linux,R",Advanced,Cloud Computing,Cloud Engineer
6.9,"Security,OS,Cloud","Excel,Python,HTML",Advanced,AI Research,ML Engineer
7.03,"OS,DBMS,Security","Linux,AWS,Python",Advanced,UI/UX Design,UI/UX Designer
9.57,"UI,Programming,OS","AWS,JavaScript,HTML",Beginner,Web Development,Frontend Developer
7.55,"OS,Statistics,AI","HTML,TensorFlow,CSS",Advanced,Software Development,Software Developer
8.69,"OS,Maths,Web Design","C++,Docker,Python",Advanced,Software Development,Software Developer
8.8,"Statistics,Security,Programming","Linux,SQL,Python",Advanced,AI Research,ML Engineer
7.5,"AI,Statistics,Maths","HTML,TensorFlow,AWS",Advanced,Cloud Computing,Cloud Engineer
6.05,"Maths,Ethics,OS","C++,Linux,R",Advanced,Data Analytics,Data Analyst
9.53,"Maths,AI,Networking","AWS,React,SQL",Advanced,UI/UX Design,UI/UX Designer
6.81,"Maths,Statistics,AI","JavaScript,Python,React",Advanced,Data Analytics,Data Analyst
7.1,"DBMS,Statistics,Networking","SQL,C++,R",Intermediate,Cloud Computing,Cloud Engineer
8.84,"OS,Cloud,Security","Excel,AWS,TensorFlow",Intermediate,Data Analytics,Data Analyst
9.58,"Networking,Web Design,Cloud","Docker,JavaScript,AWS",Beginner,Data Science,Data Scientist
9.06,"UI,AI,Security","SQL,C++,CSS",Intermediate,Web Development,Frontend Developer
7.71,"UI,Cloud,Networking","SQL,JavaScript,React",Beginner,Data Analytics,Data Analyst
7.57,"Maths,Statistics,Security","C++,Excel,CSS",Advanced,Web Development,Frontend Developer
7.69,"Security,Ethics,Statistics","Linux,CSS,R",Beginner,Cybersecurity,Security Analyst
